text,prevword,nextword,prevtag,nexttag,class
"― Потом опять на своего спутника: ― Куба, Америка… Мальчики молчали, потрясенные таким оборотом дела. Те, кого они приняла за буржуев, оказались коммунистами. ",такой,дело,APRO,S,3
На обороте крупно и чётко было напечатано: ,на,крупно,PR,ADV,4
Иру взяла в оборот Танечка и долго ее отчитывала. ,в,танечка,PR,S,6
"― Вот твой спаситель как раз идет, бери его в оборот, а от нас отвяжись, бога ради, поскольку у тебя никакого телевизора с собой нету. ",в,а,PR,CONJ,6
Тогда Алёша перевернул рисунок и написал на обороте вот такими большими буквами: ,на,вот,PR,PART,4
"В тот день, когда портной принес готовый костюм, господин директор, прежде чем позвать Пе, закрыл дверь на три оборота ключа, задернул занавески и померил костюм сам. ",три,ключ,NUM,S,1
"Общий вздох, похожий на вздох ужаса, пронёсся по классу. Дело принимало серьёзный оборот… ― Да, Синицына, я допустила ошибку. ",серьезный,да,A,CONJ,3
"Видимо, чрезвычайно довольный таким оборотом дела, хулиган Агафонов, засунув оба пальца в рот, оглушительно свистнул и, повернувшись к поверженному Алику спиной, всё так же вразвалочку пошёл в обратном направлении. ",такой,дело,APRO,S,3
― попросили довольные неожиданным оборотом дела Катя с Манечкой. ,неожиданный,дело,A,S,3
Он должен был совершить несколько оборотов вокруг Колеиды и потом сделать круг возле спутника планеты ― маленькой Луны. ,несколько,вокруг,NUM,PR,1
"Мой дед, жадюга из жадюг, и вдруг так, между прочим отваливает мне полтинник. Дело принимало крутой оборот. Видно, вот-вот этот злополучный клад попадет к нему в руки. ",крутой,видно,A,ADV,3
"В последние годы, пожалуй, вообще впервые за время, прошедшее с момента окончания так называемой «холодной войны», Организация Объединённых Наций снова начала набирать обороты. ",набирать,,V,,9
Поборы и взятки на всех этажах государственной власти приводят к изъятию огромных сумм из легального оборота. ,легальный,,A,,8
Практически все страны практикуют возврат налога с оборота на приобретенные Вами товары. ,с,на,PR,PR,7
"При вращении ручки по часовой стрелке со скоростью не более 40-50 оборотов в минуту, сок или пюре будут выходить из желобка на торце корпуса, а отходы ― через квадратное отверстие, расположенное в нижней части корпуса соковыжималки и перекрываемое регулировочным винтом 3. ",много,в,ADV,PR,1
5. Кaких рeчeвых oбoрoтoв стoит избeгaть и кaк прaвильнo зaвeршaть тeлeфoнный рaзгoвoр. ,речевой,стоять,A,V,5
"На первой ступени нагрева электродвигатель работает на пониженных оборотах, что обеспечивает отличную теплоотдачу и максимально низкий уровень шума. ",пониженный,что,A,CONJ,1
Государственная политика в сфере ипотечного кредитования только набирает обороты. ,набирать,,V,,9
"Bravo сегодня тратит на рекламу 2-3% от оборота, в будущем году расходы увеличатся до 5-7% от оборота. ",от,,PR,,7
Письмо председателю Государственного комитета Российской Федерации по контролю за оборотом наркотических средств и психотропных веществ В.Черкесову. ,за,наркотический,PR,A,8
«Об усилении госсанэпиднадзора за производством и оборотом пищевых продуктов». ,и,пищевой,CONJ,A,8
"В этой опере он широко использует характерные интонационные обороты, присущие японской музыке, что дает возможность правдиво раскрыть образы Чио-Чио-Сан, Сузуки, Ямадори и Горо. ",интонационный,присущий,A,A,5
Финансово-кредитная сфера представляет собой область формирования и использования денежных средств в процессе их оборота. ,их,,APRO,,7
"В лучших образцах французской балетной музыки всегда особенно радуют слух три природных качества: мелодичность, наделенная ясностью очертаний и грацией оборотов, ― все в меру, все образно, все пластично; ритмика ― с одной стороны, гибко отвечающая человеческой поступи, обнаруживающая характеры и движения, а с другой ― корнями глубоко уходящая в народную французскую танцевальную культуру с ее реалистическим отражением многовековой жизни-быта, нравов и обычаев; третье свойство ― колоритность,красочность музыки, уменье дать движениям оркестра впечатление живой смены явлений в их цвете и свете. ",грация,все,S,SPRO,5
"Руководитель аппарата Комитета Государственной Думы по экономической политике Андрей Владимирович Иванов в своем выступлении отметил, что нормативная регламентация всего процесса оборота коммерческой тайны невозможна, так как отдельные вопросы регулируются на уровне соглашений между участниками. ",процесс,коммерческий,S,A,8
"частота тока, гц 50 число оборотов в мин 1440 Среднечасовой расход электроэнергии на режиме «нормально» при комнатной не более температуре 18―20° C, вт-ч 40 ",число,в,S,PR,1
2. Наибольшее число оборотов главного вала не менее 600 об|Мин. ,число,главный,S,A,1
Ты помнишь это место ― посмотри на обороте. ,на,,PR,,4
"Договаривающиеся Стороны сотрудничают в борьбе с организованной преступностью, отмыванием доходов, полученных преступным путем, незаконным оборотом наркотических средств и психотропных веществ, оружия, ядерных и радиоактивных материалов, контрабандой, в том числе с незаконным перемещением через границы культурных ценностей. ",незаконный,наркотический,A,A,8
"2. Чтобы зажечь газ, следует поднести зажженную спичку к горелке и, держа ее в одной руке, другой слегка нажать на соответствующую ручку крана и повернуть ее на четверть оборота вправо или влево (рис. ",четверть,вправо,S,ADV,1
"Затем жидкостной вентиль прикрывается на 0, 25-0, 5 оборота. ",на,,PR,,1
"4. При определении оснований и размера ответственности Главного бухгалтера общества должны быть приняты во внимание обычные условия делового оборота и иные обстоятельства, имеющие значение для дела. ",деловой,и,A,CONJ,8
"привода Количество Диаметр, м Футеровка Длина, мм передаточное число Тип Количество Мощность, кВт Число оборотов Рабочий Аварийный ",число,рабочий,S,S,1
"7. Стороны предоставят культурным учреждениям другой Стороны при оказании ими услуг, связанных с их деятельностью, привилегии в отношении обложения налогом с оборота или иным косвенным налогом, являющимся по своему характеру общим налогом на потребление, в соответствии с действующими законами и иными правовыми нормами Сторон. ",с,или,PR,CONJ,7
В понедельник в набирающей обороты предвыборной президентской кампании в Ингушетии определилась расстановка основных сил. ,набирать,предвыборный,V,A,9
"― Сотрудничество с Южной Кореей, ― на правах анонимности рассказал «Известиям» высокопоставленный представитель российского ВПК, ― набирает очень серьезные обороты. ",серьезный,,A,,9
"В США, где детская порнография наводнила киберпространство, а ее годовой оборот составляет не меньше 1 миллиарда долларов, местные и федеральные власти организовали «горячую линию» для борьбы с этим явлением. ",годовой,составлять,A,V,8
"Санкции, конечно, не столь строгие, как, скажем, в отношении Ливии или Ирака, они касаются в основном военной техники и технологий и не очень мешают индийскому экспорту в США (торговля с Америкой составляет примерно 15% индийского внешнеторгового оборота). ",внешнеторговый,,A,,8
"Возможно, еще важнее то, что, разрешив вопрос Калининграда, мы можем продвигаться вперед и значительно углубить и ускорить наше сотрудничество в ряде важных и относительно новых областей, таких, как сотрудничество в борьбе с организованной преступностью, незаконной миграцией, незаконным оборотом наркотиков и торговлей людьми. ",незаконный,наркотик,A,S,8
"Из военного оборота он при этом выводится, но для энергетики это неэффективно. ",военный,он,A,SPRO,2
