prevword,nextword,prevtag,nexttag,class
lower,rates,VB,NNS,6
its,is,PP,VBZ,6
14,.,AB,.,6
its,payments,PP,NNS,6
in,and,IN,CC,6
that,could,IN,MD,6
caused,on,VBD,IN,6
annual,payments,JJ,NNS,6
equity,would,NN,MD,5
other,.,JJ,.,3
no,,DT,'',1
with,in,IN,IN,5
in,rates,IN,NNS,6
and,rates,CC,NNS,6
6.7,rate,AB,NN,6
has,in,VBZ,IN,5
annual,rates,JJ,NNS,6
has,in,VBZ,IN,5
separate,and,JJ,CC,6
higher,rate,JJR,NN,6
35.45,in,AB,IN,5
has,in,VBZ,IN,5
controlling,in,JJ,IN,5
net,margin,JJ,NN,6
net,income,JJ,NN,6
of,payments,IN,NNS,6
``,in,``,IN,1
falling,rates,VBG,NNS,6
feel,rates,VBP,NNS,6
buyers,in,NNS,IN,1
and,payments,CC,NNS,6
and,payments,CC,NNS,6
s,was,POS,VBD,1
as,on,IN,IN,6
debt,in,NN,IN,6
net,payments,JJ,NNS,6
an,in,DT,IN,1
intense,among,JJ,IN,1
commercial,is,JJ,VBZ,1
broad,in,JJ,IN,1
with,.,IN,.,1
short-term,rates,JJ,NNS,6
short-term,rates,JJ,NNS,6
that,rates,IN,NNS,6
that,rates,IN,NNS,6
voting,.,NN,.,5
with,.,IN,.,1
best,to,JJS,TO,4
japanese,rates,JJ,NNS,6
s,rate,POS,NN,6
allowing,rates,VBG,NNS,6
reduce,rates,VB,NNS,6
national,to,JJ,TO,4
and,--,CC,:,6
lower,rates,JJR,NNS,6
tremendous,in,JJ,IN,1
and,income,CC,NN,6
allocate,expenses,VB,NNS,6
because,expenses,IN,NNS,6
thus,expenses,RB,NNS,6
these,expenses,DT,NNS,6
to,rates,TO,NNS,6
open,or,JJ,CC,5
open,is,JJ,VBZ,5
open,in,JJ,IN,5
open,in,JJ,IN,5
open,and,JJ,CC,5
open,situations,JJ,NNS,5
open,will,JJ,MD,5
fraudulent,expenses,JJ,NNS,6
fraudulent,expenses,JJ,NNS,6
annual,rates,JJ,NNS,6
has,in,VBZ,IN,5
of,in,IN,IN,1
of,not,IN,RB,1
considerable,in,JJ,IN,1
of,payments,IN,NNS,6
serious,on,JJ,IN,1
make,payments,VB,NNS,6
major,is,JJ,VBZ,3
video,and,NN,CC,5
music-publishing,.,JJ,.,5
expressed,in,VBN,IN,1
20,in,AB,IN,5
net,margins,JJ,NNS,6
net,income,JJ,NN,6
net,income,JJ,NN,6
for,rates,IN,NNS,6
renewed,by,VBN,IN,1
lower,rates,VB,NNS,6
pay,in,VBD,IN,6
much,in,JJ,IN,6
%,rate,NN,NN,6
among,rate-sensitive,IN,JJ,6
high,rates,JJ,NNS,6
institutional,in,JJ,IN,1
the,in,DT,IN,1
damp,in,VB,IN,1
high,rates,JJ,NNS,6
african,rates,JJ,NNS,6
annualized,rates,VBN,NNS,6
the,rates,DT,NNS,6
the,rate,DT,NN,6
that,rates,IN,NNS,6
the,rate,DT,NN,6
the,rate,DT,NN,6
expressed,in,VBN,IN,1
annual,rates,JJ,NNS,6
high,rates,JJ,NNS,6
equity,in,NN,IN,5
60,in,AB,IN,5
substantial,in,JJ,IN,5
and,deductions,CC,NNS,6
property,was,NN,VBD,5
sell,in,VB,IN,5
for,paid,IN,VBN,6
--,paid,:,VBN,6
67,in,AB,IN,5
6,and,AB,CC,5
german,rates,NP,NNS,6
expressed,in,VBD,IN,1
their,publicly,PP,RB,1
expressed,in,VBN,IN,1
s,in,POS,IN,1
any,in,DT,IN,1
pay,periodically,VB,RB,6
the,on,DT,IN,6
majority,in,NN,IN,5
make,payments,VB,NNS,6
has,in,VBZ,IN,5
s,.,POS,.,4
net,income,JJ,NN,6
customers,lest,NNS,IN,1
considerable,even,JJ,RB,1
equity,in,NN,IN,5
has,in,VBZ,IN,5
lower,rates,VB,NNS,6
and,rates,CC,NNS,6
relax,rates,VB,NNS,6
reduce,rates,VB,NNS,6
lower,rates,JJR,NNS,6
or,rates,CC,NNS,6
lower,rates,VB,NNS,6
falling,rates,VBG,NNS,6
raise,rates,VB,NNS,6
media,said,NNS,VBD,5
in,rates,IN,NNS,6
raising,rates,VBG,NNS,6
main,was,JJ,VBD,3
fixed,rates,VBN,NNS,6
has,in,VBZ,IN,5
lower,rates,JJR,NNS,6
annual,expense,JJ,NN,6
annual,savings,JJ,NNS,6
best,of,JJS,IN,4
or,rates,CC,NNS,6
key,rates,JJ,NNS,6
u.s.,rates,NP,NNS,6
the,rate,DT,NN,6
publishing,of,NN,IN,5
film,including,NN,VBG,5
prevailing,rates,VBG,NNS,6
renewed,in,VBN,IN,1
60,exxon,AB,NP,5
lower,rates,VB,NNS,6
short-term,rates,JJ,NNS,6
ownership,in,NN,IN,5
shareholders,at,NNS,IN,4
minority,came,NN,VBD,5
public,,JJ,'',4
own,either,JJ,RB,4
other,the,JJ,DT,5
particular,because,JJ,IN,2
soaring,rates,VBG,NNS,6
no,but,DT,CC,6
with,in,IN,IN,5
hike,rates,VB,NNS,6
minority,in,NN,IN,5
equity,in,NN,IN,5
non-controlling,in,JJ,IN,5
reduce,payments,VB,NNS,6
plan,would,NN,MD,6
annual,rates,JJ,NNS,6
of,expenses,IN,NNS,6
and,income,CC,NN,6
in,income,IN,NN,6
and,income,CC,NN,6
its,here,PP,RB,4
british,rates,JJ,NNS,6
rising,rates,VBG,NNS,6
high,rates,JJ,NNS,6
in,rates,IN,NNS,6
general,in,JJ,IN,1
in,rates,IN,NNS,6
plus,income,CC,NN,6
investor,in,NN,IN,1
raised,rates,VBD,NNS,6
foreign,rates,JJ,NNS,6
lower,rates,VB,NNS,6
falling,rates,VBG,NNS,6
keeping,rates,VBG,NNS,6
corporate,payments,JJ,NNS,6
but,in,CC,IN,1
pay,in,VB,IN,6
shareholders,is,NNS,VBZ,4
investor,might,NN,MD,1
the,of,DT,IN,1
minority,in,NN,IN,5
s,as,POS,IN,1
generated,in,VBN,IN,1
coordinated,rate,VBN,NN,6
high,rate,JJ,NN,6
the,rate,DT,NN,6
despite,rate,IN,NN,6
the,from,DT,IN,1
including,is,VBG,VBZ,6
possible,rate,JJ,NN,6
high,rates,JJ,NNS,6
additional,expense,JJ,NN,6
accrued,.,JJ,.,6
u.s.,could,NP,MD,4
u.s.,too,NP,RB,4
own,.,JJ,.,4
with,in,IN,IN,5
annual,running,JJ,VBG,6
athletic,,JJ,'',4
in,rates,IN,NNS,6
s,income,POS,NN,6
the,margin,DT,NN,6
short-term,rates,JJ,NNS,6
short-term,rates,JJ,NNS,6
below-market,rates,JJ,NNS,6
cash,obligations,NN,NNS,6
the,savings,DT,NNS,6
reduced,expense,JJ,NN,6
make,payments,VB,NNS,6
the,of,DT,IN,3
``,will,``,MD,4
controlling,in,NN,IN,5
400000,payment,AB,NN,6
no,in,DT,IN,1
customer,that,NN,WDT,1
an,in,DT,IN,1
the,of,DT,IN,4
voting,in,NN,IN,5
down,rates,RP,NNS,6
strategic,,JJ,'',4
their,in,PP,IN,5
annual,rates,JJ,NNS,6
public,.,JJ,.,4
coordinator,at,NN,IN,6
weeks,rates,NNS,NNS,6
if,rates,IN,NNS,6
special,in,JJ,IN,1
personal,with,JJ,IN,1
an,in,DT,IN,1
reduce,rates,VB,NNS,6
lower,rates,JJR,NNS,6
sets,rate,VBZ,NN,6
lower,rates,JJR,NNS,6
their,rates,PP,NNS,6
lowering,rates,VBG,NNS,6
lower,rates,JJR,NNS,6
expressed,in,VBN,IN,1
in,rates,IN,NNS,6
best,of,JJS,IN,4
cut,rates,VB,NNS,6
long-term,rates,JJ,NNS,6
the,rate,DT,NN,6
that,rates,IN,NNS,6
short-term,rates,JJ,NNS,6
up,in,IN,IN,1
european,rates,JJ,NNS,6
real,rates,JJ,NNS,6
usual,.,JJ,.,1
their,in,PP,IN,1
at,rates,IN,NNS,6
lower,rates,JJR,NNS,6
lower,rates,VB,NNS,6
an,in,DT,IN,1
cut,rates,VB,NNS,6
pay,and,VB,CC,6
annual,of,JJ,IN,6
loses,.,VBZ,.,1
higher,rates,JJR,NNS,6
buying,in,VBG,IN,1
in,rates,IN,NNS,6
high,rate,JJ,NN,6
beneficial,in,JJ,IN,5
u.s.,rates,NP,NNS,6
rising,rates,VBG,NNS,6
plus,income,CC,NN,6
if,payments,IN,NNS,6
rising,rates,VBG,NNS,6
as,rates,IN,NNS,6
any,until,DT,IN,6
with,rates,IN,NNS,6
lower,rates,JJR,NNS,6
if,rates,IN,NNS,6
national,in,JJ,IN,4
high,rates,JJ,NNS,6
strong,in,JJ,IN,1
non-steel,which,JJ,WDT,5
high,rates,JJ,NNS,6
been,in,VBN,IN,1
majority,in,NN,IN,5
majority,in,NN,IN,5
make,payments,VB,NNS,6
average,rate,JJ,NN,6
10,in,AB,IN,5
its,in,PP,IN,5
s,to,POS,TO,5
sizable,in,JJ,IN,5
public,in,JJ,IN,1
best,a,JJS,DT,4
higher,rates,JJR,NNS,6
sent,rates,VBN,NNS,6
corporate,payments,JJ,NNS,6
short-term,rates,JJ,NNS,6
pushing,rates,VBG,NNS,6
withhold,payments,VB,NNS,6
protected,.,JJ,.,4
expects,rates,VBZ,NNS,6
in,rates,IN,NNS,6
tax,on,NN,IN,6
minority,in,NN,IN,5
the,of,DT,IN,4
high,rates,JJ,NNS,6
deep,in,JJ,IN,1
long,in,JJ,IN,1
or,payments,CC,NNS,6
or,payments,CC,NNS,6
an,in,DT,IN,1
debt,.,NN,.,6
parochial,.,JJ,.,4
accrued,to,VBN,TO,6
annual,bill,JJ,NN,6
include,on,VB,IN,6
cash,on,NN,IN,6
its,and,PP,CC,6
any,at,DT,IN,1
s,in,POS,IN,1
of,rate,IN,NN,6
takeover,saying,NN,VBG,1
foreign,rates,JJ,NNS,6
in,rates,IN,NNS,6
},rates,),NNS,6
investor,and,NN,CC,1
raised,rates,VBD,NNS,6
because,rate,IN,NN,6
open,figures,JJ,NNS,5
open,is,JJ,VBZ,5
equity,in,NN,IN,5
annual,rates,JJ,NNS,6
despite,rate,IN,NN,6
raise,rates,VB,NNS,6
market,rates,NN,NNS,6
u.s.,rates,NP,NNS,6
60,in,AB,IN,5
and,costs,CC,NNS,6
an,in,DT,IN,1
tokyo,rate,NP,NN,6
high,rates,JJ,NNS,6
higher,rates,JJR,NNS,6
german,rate,JJ,NN,6
buying,after,NN,IN,1
minority,at,NN,IN,5
on,rates,IN,NNS,6
minority,and,NN,CC,5
official,rates,JJ,NNS,6
benchmark,rates,JJ,NNS,6
s,in,POS,IN,5
its,in,PP,IN,5
before,depreciation,IN,NN,6
before,taxes,IN,NNS,6
certain,payments,JJ,NNS,6
accrued,of,JJ,IN,6
public,.,JJ,.,4
public,.,JJ,.,4
before,taxes,IN,NNS,6
the,of,DT,IN,4
public,.,JJ,.,4
in,payments,IN,NNS,6
british,rates,JJ,NNS,6
key,rates,JJ,NNS,6
is,rates,VBZ,NNS,6
raising,rates,VBG,NNS,6
of,rates,IN,NNS,6
emotional,at,JJ,IN,1
because,rates,IN,NNS,6
and,required,CC,VBN,6
and,in,CC,IN,6
possible,rate,JJ,NN,6
governmental,rate,JJ,NN,6
bonds,on,NNS,IN,6
what,rate,WP,NN,6
expected,rate,VBN,NN,6
higher,rates,JJR,NNS,6
an,payment,DT,NN,6
lower,rate,JJR,NN,6
bonus,rates,NN,NNS,6
express,in,VBP,IN,1
big,in,JJ,IN,4
first-year,rate,JJ,NN,6
offer,rates,VBP,NNS,6
s,.,POS,.,3
high,rates,JJ,NNS,6
pay,periodically,VB,RB,6
current,bonds,JJ,NNS,6
tax,on,NN,IN,6
up,shortfalls,IN,NNS,6
great,in,JJ,IN,1
u.k.,rates,NP,NNS,6
prospective,rate,JJ,NN,6
investor,yesterday,NN,NN,1
investor,which,NN,WDT,1
german,rates,JJ,NNS,6
brewing,of,NN,IN,5
of,income,IN,NN,6
rising,rates,VBG,NNS,6
any,until,DT,IN,6
rising,rates,VBG,NNS,6
signs,rates,NNS,NNS,6
short-term,rates,JJ,NNS,6
personal,.,JJ,.,3
meet,payments,VB,NNS,6
hefty,expense,JJ,NN,6
academic,.,JJ,.,1
security,in,NN,IN,5
more,at,JJR,IN,1
sheer,,JJ,'',1
german,rates,JJ,NNS,6
short-term,rates,JJ,NNS,6
think,rates,VBP,NNS,6
the,rate,DT,NN,6
3,.,AB,.,6
personal,.,JJ,.,3
an,in,DT,IN,5
own,and,JJ,CC,3
in,rates,IN,NNS,6
high,rates,JJ,NNS,6
some,among,DT,IN,1
an,in,DT,IN,5
their,.,PP,.,4
an,in,DT,IN,5
unpaid,together,JJ,RB,6
make,payments,VB,NNS,6
foreign,rates,JJ,NNS,6
general,in,JJ,IN,1
allow,rates,VB,NNS,6
in,rates,IN,NNS,6
stirring,among,VBG,IN,1
annual,rates,JJ,NNS,6
high,rates,JJ,NNS,6
annual,rates,JJ,NNS,6
accrued,from,JJ,IN,6
of,in,IN,IN,1
in,gleefully,IN,RB,1
and,rates,CC,NNS,6
reduced,rate,JJ,NN,6
congressional,in,JJ,IN,1
of,,IN,'',2
increasing,by,VBG,IN,1
an,in,DT,IN,1
controlling,in,JJ,IN,5
short-term,rates,JJ,NNS,6
cut,rates,VB,NNS,6
key,rates,JJ,NNS,6
higher,rates,JJR,NNS,6
best,of,JJS,IN,4
the,earned,DT,VBN,6
up,rates,RP,NNS,6
by,rates,IN,NNS,6
s,in,POS,IN,1
an,in,DT,IN,1
keep,pumped,VBP,VBD,1
average,rate,JJ,NN,6
with,in,IN,IN,5
franchise,for,NN,IN,5
large,in,JJ,IN,5
s,and,POS,CC,5
voting,and,NN,CC,5
equity,in,NN,IN,5
voting,and,NN,CC,5
equity,in,NN,IN,5
expressed,in,VBN,IN,1
york,.,NP,.,5
s,and,POS,CC,5
s,``,POS,``,5
its,in,PP,IN,5
hold,in,VBP,IN,5
of,and,IN,CC,6
private,with,JJ,IN,3
equity,in,NN,IN,5
u.k.,rate,NP,NN,6
investor,because,NN,IN,1
u.k.,rates,NP,NNS,6
on,rates,IN,NNS,6
investor,.,NN,.,1
their,is,PP,VBZ,1
no,charge,DT,NN,6
other,.,JJ,.,3
an,rate,DT,NN,6
other,.,JJ,.,3
11.4,in,AB,IN,5
that,rates,IN,NNS,6
retail,since,JJ,IN,1
lowering,rates,VBG,NNS,6
lower,rates,JJR,NNS,6
lower,rates,JJR,NNS,6
short-term,rates,JJ,NNS,6
net,cost,JJ,NN,6
has,in,VBZ,IN,5
lower,cost,JJR,NN,6
of,in,IN,IN,1
most,.,JJS,.,1
to,rates,TO,NNS,6
its,in,PP,IN,5
by,payments,IN,NNS,6
the,from,DT,IN,6
cash,payments,NN,NNS,6
cellular,in,JJ,IN,5
s,in,POS,IN,1
national,are,JJ,VBP,4
insurance,of,NN,IN,5
speculative,that,JJ,WDT,1
of,in,IN,IN,1
insurance,in,NN,IN,5
french,to,JJ,TO,5
of,or,IN,CC,6
domestic,rates,JJ,NNS,6
u.s.,lies,NP,VBZ,4
industrial-gas,and,JJ,CC,5
annualized,rates,VBN,NNS,6
heavy,payments,JJ,NNS,6
its,as,PP,IN,5
its,to,PP,TO,5
its,in,PP,IN,1
pushing,rates,VBG,NNS,6
expects,rates,VBZ,NNS,6
its,in,PP,IN,5
working,in,VBG,IN,5
an,in,DT,IN,5
of,payments,IN,NNS,6
thread,could,NN,MD,5
minority,rose,NN,VBD,5
minority,and,NN,CC,5
plus,accrued,CC,VBN,6
annual,rates,JJ,NNS,6
of,and,IN,CC,6
slows,rates,VBZ,NNS,6
minority,rose,NN,VBD,5
base,plus,JJ,CC,6
of,and,IN,CC,5
reduces,rates,VBZ,NNS,6
raise,rates,VB,NNS,6
higher,rates,JJR,NNS,6
u.s.,rates,NP,NNS,6
high,rates,JJ,NNS,6
postpone,payments,VB,NNS,6
expressed,in,VBN,IN,1
paying,on,VBG,IN,6
insurance,of,NN,IN,5
higher,rates,JJR,NNS,6
u.k.,rates,NP,NNS,6
damping,in,VBG,IN,1
german,rates,JJ,NNS,6
and,because,CC,IN,6
cash,payments,NN,NNS,6
20,to,AB,TO,5
lost,in,VBN,IN,1
an,rate,DT,NN,6
an,rate,DT,NN,6
in,rates,IN,NNS,6
working,in,JJ,IN,5
60,in,AB,IN,5
controlling,in,VBG,IN,5
soviet,in,JJ,IN,1
best,of,JJS,IN,4
has,in,VBZ,IN,5
or,payments,CC,NNS,6
paid,on,VBD,IN,6
security,in,NN,IN,5
paying,on,VBG,IN,6
mortgage,deduction,NN,NN,6
its,in,PP,IN,5
unwelcome,in,JJ,IN,1
and,obligations,CC,NNS,6
of,income,IN,NN,6
accrued,and,JJ,CC,6
with,and,IN,CC,6
best,of,JJS,IN,4
its,in,PP,IN,5
of,.,IN,.,6
equity,in,NN,IN,5
high,rates,JJ,NNS,6
in,rates,IN,NNS,6
to,potential,TO,JJ,2
of,is,IN,VBZ,1
inflation-adjusted,rates,JJ,NNS,6
overnight,rate,JJ,NN,6
engineering,said,NN,VBD,5
domestic,rates,JJ,NNS,6
up,rates,RP,NNS,6
the,coverage,DT,NN,6
in,rate,IN,NN,6
on,rates,IN,NNS,6
an,rate,DT,NN,6
and,expense,CC,NN,6
in,rates,IN,NNS,6
as,rates,IN,NNS,6
in,rates,IN,NNS,6
more,in,JJR,IN,1
its,in,PP,IN,1
the,of,DT,IN,4
their,in,PP,IN,1
insurance,.,NN,.,5
as,rates,IN,NNS,6
net,margin,JJ,NN,6
has,in,VBZ,IN,5
annual,rates,JJ,NNS,6
60,in,AB,IN,5
short-term,rates,JJ,NNS,6
his,in,PP,IN,1
long-term,rates,JJ,NNS,6
short-term,rates,JJ,NNS,6
in,rates,IN,NNS,6
raising,rates,VBG,NNS,6
low,rates,JJ,NNS,6
short-term,rate,JJ,NN,6
in,rates,IN,NNS,6
higher,rates,JJR,NNS,6
plus,payments,CC,NNS,6
lowering,rates,VBG,NNS,6
that,rates,IN,NNS,6
if,rates,IN,NNS,6
the,rate,DT,NN,6
real,rates,JJ,NNS,6
growing,by,VBG,IN,1
its,and,PP,CC,4
the,of,DT,IN,4
s,in,POS,IN,5
indirect,in,JJ,IN,5
any,i,DT,PP,4
55,in,AB,IN,5
of,in,IN,IN,1
equity,in,NN,IN,5
other,.,JJ,.,3
community,including,NN,VBG,3
japanese,rates,JJ,NNS,6
lower,rates,VB,NNS,6
german,rates,JJ,NNS,6
u.s.,rates,NP,NNS,6
increase,rates,VB,NNS,6
suspended,payments,VBN,NNS,6
possible,by,JJ,IN,1
his,would,PP,MD,1
market,rates,NN,NNS,6
u.k.,rates,NP,NNS,6
s,was,POS,VBD,4
common,in,JJ,IN,4
expressed,.,VBN,.,1
and,reduction,CC,NN,6
of,on,IN,IN,6
paying,on,VBG,IN,6
minority,or,NN,CC,5
minority,totaled,NN,VBD,5
high,rates,JJ,NNS,6
takeover,in,NN,IN,1
net,margins,JJ,NNS,6
net,margin,JJ,NN,6
possible,in,JJ,IN,1
s,in,POS,IN,1
the,of,DT,IN,1
on,in,IN,IN,1
of,in,IN,IN,1
attracting,from,VBG,IN,1
holds,in,VBZ,IN,5
with,in,IN,IN,5
their,.,PP,.,4
an,in,DT,IN,5
lower,costs,VB,NNS,6
s,in,POS,IN,1
12,in,AB,IN,5
iv,the,NP,DT,1
accrued,to,JJ,TO,6
has,in,VBZ,IN,5
research,in,NN,IN,3
tuesday,will,NP,MD,6
current,bonds,JJ,NNS,6
current,bonds,JJ,NNS,6
annual,rates,JJ,NNS,6
best,,JJS,'',4
sparking,in,VBG,IN,1
when,rates,WRB,NNS,6
as,rates,IN,NNS,6
an,rate,DT,NN,6
17,payments,AB,NNS,6
annual,payments,JJ,NNS,6
smaller,payments,JJR,NNS,6
lower,rates,VB,NNS,6
the,from,DT,IN,6
u.s.,rates,NP,NNS,6
voting,ca,NN,MD,5
over,rates,IN,NNS,6
u.k.,rates,NP,NNS,6
best,,JJS,'',4
minority,rose,NN,VBD,5
bank,contributed,NN,VBD,5
open,in,JJ,IN,5
open,declined,JJ,VBD,5
high,rates,JJ,NNS,6
from,income,IN,NN,6
own,to,JJ,TO,4
world,rates,NN,NNS,6
on,on,IN,IN,6
gains,rates,NNS,NNS,6
s,bill,POS,NN,6
14,are,AB,VBP,6
other,.,JJ,.,3
extra,by,JJ,IN,6
the,on,DT,IN,6
the,they,DT,PP,6
lower,rate,JJR,NN,6
any,in,DT,IN,1
further,in,JJ,IN,1
national,.,JJ,.,4
and,income,CC,NN,6
some,especially,DT,RB,2
working,and,VBG,CC,5
10.02,.,AB,.,5
remaining,are,JJ,VBP,5
voiced,in,VBN,IN,1
my,,PP,'',1
deny,by,VB,IN,1
and,income,CC,NN,6
allowing,rates,VBG,NNS,6
at,rates,IN,NNS,6
higher,rates,JJR,NNS,6
higher,rates,JJR,NNS,6
great,in,JJ,IN,1
diverse,in,JJ,IN,5
50,in,AB,IN,5
annual,of,JJ,IN,6
s,in,POS,IN,4
other,.,JJ,.,3
personal,in,NP,IN,3
current,bonds,JJ,NNS,6
lower,rates,JJR,NNS,6
has,in,VBZ,IN,5
s,``,POS,``,5
push,rates,VB,NNS,6
minority,or,NN,CC,5
of,rates,IN,NNS,6
higher,expenses,JJR,NNS,6
minority,tumbled,NN,VBD,5
of,is,IN,VBZ,4
best,,JJS,'',4
minority,in,NN,IN,5
49,in,AB,IN,5
3,in,AB,IN,5
other,probably,JJ,RB,3
annual,rates,JJ,NNS,6
s,or,POS,CC,4
s,to,POS,TO,4
renewed,in,JJ,IN,1
said,in,VBD,IN,1
additional,among,JJ,IN,1
u.k.,rates,NP,NNS,6
an,rate,DT,NN,6
raise,rates,VB,NNS,6
german,rates,JJ,NNS,6
domestic,rates,JJ,NNS,6
49,owned,AB,VBN,5
of,to,IN,TO,2
their,in,PP,IN,1
boost,rates,VB,NNS,6
little,in,JJ,IN,1
certain,payments,JJ,NNS,6
main,is,JJ,VBZ,3
with,in,IN,IN,5
key,rates,JJ,NNS,6
before,during,IN,IN,6
accrued,.,VBN,.,6
the,on,DT,IN,6
the,of,DT,IN,4
the,of,DT,IN,4
diluted,fell,JJ,VBD,5
indirect,in,JJ,IN,5
bears,at,VBZ,IN,6
best,of,JJS,IN,4
shorter-term,selling,JJR,VBG,4
},regarding,),VBG,4
average,rate,JJ,NN,6
the,paid,DT,VBN,6
reported,and,JJ,CC,6
plus,is,CC,VBZ,6
all,will,DT,MD,6
personal,.,JJ,.,4
best,,JJS,'',4
67,.,AB,.,5
german,rates,JJ,NNS,6
raising,rates,VBG,NNS,6
raising,rates,VBG,NNS,6
domestic,rates,JJ,NNS,6
billion,payment,AB,NN,6
annual,rates,JJ,NNS,6
business,.,NN,.,3
business,.,NN,.,3
of,,IN,'',4
but,is,CC,VBZ,1
buying,in,VBG,IN,1
5,and,AB,CC,5
higher,rates,JJR,NNS,6
of,from,IN,IN,1
up,rates,RP,NNS,6
current,term,JJ,NN,6
raising,rates,VBG,NNS,6
drew,from,VBD,IN,1
u.k.,rate,NP,NN,6
rising,rates,VBG,NNS,6
current,rates,JJ,NNS,6
banks,margins,NNS,NNS,6
lowering,rates,VBG,NNS,6
local,to,JJ,TO,4
economic,driving,JJ,VBG,3
51,in,AB,IN,5
retailing,including,NN,VBG,5
short,rose,JJ,VBD,5
that,rates,IN,NNS,6
43.7,in,AB,IN,5
controlling,in,VBG,IN,5
an,that,DT,IN,5
50,in,AB,IN,5
students,.,NNS,.,1
limited-partner,in,JJ,IN,5
pipeline,.,NN,.,5
s,should,POS,MD,4
with,in,IN,IN,5
key,rates,JJ,NNS,6
domestic,rates,JJ,NNS,6
of,rates,IN,NNS,6
every,payment,DT,NN,6
its,in,PP,IN,1
retailing,to,VBG,TO,5
partner,in,NN,IN,5
short,in,JJ,IN,5
short,posted,JJ,VBD,5
short,rose,JJ,VBD,5
short,in,JJ,IN,5
short,on,JJ,IN,5
short,in,JJ,IN,5
short,in,JJ,IN,5
short,jump,JJ,NN,5
short,in,JJ,IN,5
short,is,JJ,VBZ,5
short,indicates,JJ,VBZ,5
short,as,JJ,IN,5
short,data,JJ,NNS,5
short,in,JJ,IN,5
short,totaled,JJ,VBD,5
short,position,JJ,NN,5
immediate,in,JJ,IN,1
of,with,IN,IN,4
any,in,DT,IN,1
with,rates,IN,NNS,6
average,rate,JJ,NN,6
are,rates,VBP,NNS,6
as,rates,IN,NNS,6
own,face,JJ,VBP,4
to,rates,TO,NNS,6
keep,rates,VB,NNS,6
if,rates,IN,NNS,6
in,than,IN,IN,6
think,rates,VBP,NNS,6
equity,in,NN,IN,5
base,rates,NN,NNS,6
raised,rates,VBN,NNS,6
that,rates,IN,NNS,6
raise,rates,VB,NNS,6
higher,rates,JJR,NNS,6
high,rates,JJ,NNS,6
annualized,rates,VBN,NNS,6
promised,payments,VBN,NNS,6
for,on,IN,IN,6
telephone,with,NN,IN,5
s,was,POS,VBD,1
annual,rates,JJ,NNS,6
has,in,VBZ,IN,5
lower,rate,JJR,NN,6
which,will,WDT,MD,6
pay,in,VBP,IN,6
allow,rates,VB,NNS,6
in,rates,IN,NNS,6
higher,rates,JJR,NNS,6
overdue,payments,JJ,NNS,6
on,payments,IN,NNS,6
and,according,CC,VBG,6
its,payments,PP,NNS,6
special,magazines,JJ,NNS,3
firms,in,NNS,IN,1
long-term,in,JJ,IN,4
of,was,IN,VBD,4
its,in,PP,IN,5
euroyen,rate,NP,NN,6
expressed,in,VBD,IN,1
other,.,JJ,.,5
domestic,rates,JJ,NNS,6
higher,rates,JJR,NNS,6
buying,following,NN,VBG,1
of,in,IN,IN,1
lively,from,JJ,IN,1
in,rate,IN,NN,6
paris,rate,NP,NN,6
european,rates,JJ,NNS,6
other,.,JJ,.,5
minority,jumped,NN,VBD,5
voting,in,NN,IN,5
washington,is,NP,VBZ,1
public,has,JJ,VBZ,4
raise,rates,VB,NNS,6
inflation-adjusted,rates,JJ,NNS,6
lowering,rates,VBG,NNS,6
domestic,rates,JJ,NNS,6
60,in,AB,IN,5
snack-food,.,NN,.,5
growing,among,VBG,IN,1
35,it,AB,PP,5
has,in,VBZ,IN,5
for,rates,IN,NNS,6
buying,.,NN,.,1
emerging,in,VBG,IN,1
strong,for,JJ,IN,1
of,in,IN,IN,1
raise,rates,VB,NNS,6
an,in,DT,IN,1
the,that,DT,IN,1
their,--,PP,:,5
love,for,NN,IN,3
and,an,CC,DT,3
annual,rates,JJ,NNS,6
except,payments,IN,NNS,6
meet,payments,VB,NNS,6
american,and,JJ,CC,4
marketing,.,NN,.,5
down,rates,RP,NNS,6
high,rates,JJ,NNS,6
healthy,rate,JJ,NN,6
possible,in,JJ,IN,1
social,to,JJ,TO,4
5,rate,AB,NN,6
best,.,JJS,.,4
resume,payments,VB,NNS,6
local,in,JJ,IN,4
local,receive,JJ,VBP,4
financial,in,JJ,IN,5
below-market,rate,JJ,NN,6
high,rates,JJ,NNS,6
nonetheless,rates,RB,NNS,6
without,.,IN,.,6
an,in,DT,IN,5
most,from,JJS,IN,1
sparked,from,VBN,IN,1
15,in,AB,IN,5
minority,in,NN,IN,5
and,payments,CC,NNS,6
cut,rates,VB,NNS,6
higher,rates,JJR,NNS,6
shareholders,the,NNS,DT,4
of,and,IN,CC,6
in,rates,IN,NNS,6
film,in,NN,IN,5
unpaid,to,JJ,TO,6
that,rates,IN,NNS,6
lower,rates,JJR,NNS,6
u.s.,rates,NP,NNS,6
lower,rates,JJR,NNS,6
lower,rates,JJR,NNS,6
up,rates,RP,NNS,6
fear,rates,VBP,NNS,6
that,rates,IN,NNS,6
the,shown,DT,VBN,1
employee,.,NN,.,4
pay,due,VB,JJ,6
of,which,IN,WDT,5
controlling,and,JJ,CC,5
exceptional,in,JJ,IN,1
lowered,rates,VBD,NNS,6
lowered,rates,VBD,NNS,6
cut,rates,VB,NNS,6
